"InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","DateLastModified","ScientificName","Family","PreparationType","Preparations","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord"
"CU","CUMV-Fish","91610","1","2009-01-16TEastern Sta:ndard Time","Clarias gariepinus","Clariidae","dry skeleton, tissue","dry skeleton, tissue","tissue","-26.8537998199","29.4930000305","","","South Africa","Mpumalanga","","","","Vaal River above Grootdraai Dam on private farm near Morgenzen","","2005","10","18","Bills, da Costa Friel & Schwartz","","","voucher"
"CU","CUMV-Fish","91587","1","2009-01-16TEastern Sta:ndard Time","Clarias gariepinus","Clariidae","dry skeleton, tissue","dry skeleton, tissue","tissue","-26.8537998199","29.4930000305","","","South Africa","Mpumalanga","","","","Vaal River above Grootdraai Dam on private farm near Morgenzen","","2005","10","18","Bills, da Costa Friel & Schwartz","","","voucher"
"CU","CUMV-Fish","91732","5","2009-01-16TEastern Sta:ndard Time","Labeobarbus aeneus","Cyprinidae","fluid","fluid","","-30.9580993652","27.4589004517","","","South Africa","Eastern Cape","","","","Kraai River at the Barkly East-Lady Grey road bridge (Lappa Munik Bridge)","","2005","10","19","Bills & Friel","","","voucher"
"CU","CUMV-Fish","91485","1","2009-01-16TEastern Sta:ndard Time","Labeobarbus aeneus","Cyprinidae","dry skeleton, tissue","dry skeleton, tissue","tissue","-26.8537998199","29.4930000305","","","South Africa","Mpumalanga","","","","Vaal River above Grootdraai Dam on private farm near Morgenzen","","2005","10","18","Bills, da Costa Friel & Schwartz","","","voucher"
"CU","CUMV-Fish","91501","1","2009-01-16TEastern Sta:ndard Time","Clarias gariepinus","Clariidae","tissue, dry skeleton","tissue, dry skeleton","tissue","-26.8537998199","29.4930000305","","","South Africa","Mpumalanga","","","","Vaal River above Grootdraai Dam on private farm near Morgenzen","","2005","10","18","Bills, da Costa Friel & Schwartz","","","voucher"
"CU","CUMV-Fish","81265","3","2009-01-16TEastern Sta:ndard Time","Hydrocynus forskahlii","Alestidae","fluid","fluid","","-27.0333","32.2833","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Sokunti Pan","","1993","12","4","GS Merron","","","voucher"
"CU","CUMV-Fish","81266","2","2009-01-16TEastern Sta:ndard Time","Brycinus imberi","Alestidae","fluid","fluid","","-27.0167","32.3","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Makanes New Bridge","","1993","12","0","M Coke","","","voucher"
"CU","CUMV-Fish","81267","8","2009-01-16TEastern Sta:ndard Time","Tilapia rendalli","Cichlidae","fluid","fluid","","-26.9","32.3167","","","South Africa","Kwazulu Natal","","","","Phongolo R.","","1994","4","6","GS Merron","","","voucher"
"CU","CUMV-Fish","81268","10","2009-01-16TEastern Sta:ndard Time","Petrocephalus catostoma","Mormyridae","fluid","fluid","","-26.8333","32.3","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Banzi Pool","","1994","2","7","GS Merron","","","voucher"
"CU","CUMV-Fish","81269","3","2009-01-16TEastern Sta:ndard Time","Labeo rosae","Cyprinidae","fluid","fluid","","-27","32","","","South Africa","Kwazulu Natal","","","","Usuthu R.","","1994","4","14","GS Merron","","","voucher"
"CU","CUMV-Fish","81270","1","2009-01-16TEastern Sta:ndard Time","Barbus trimaculatus","Cyprinidae","fluid","fluid","","-26.8333","32.3","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Banzi Pan","","1994","4","15","GS Merron","","","voucher"
"CU","CUMV-Fish","81271","34","2009-01-16TEastern Sta:ndard Time","Pseudocrenilabrus philander","Cichlidae","fluid","fluid","","","","","","South Africa","Kwazulu Natal","","","","Phongolo R, Mabunga Pool","","1995","2","10","GS Merron","","","voucher"
"CU","CUMV-Fish","81273","10","2009-01-16TEastern Sta:ndard Time","Synodontis zambezensis","Mochokidae","cleared and stained, fluid","cleared and stained, fluid","","-26.9833","32.2833","","","South Africa","Kwazulu","","","","Phongolo R. flood plain, Ngodo Pan","","1995","4","17","GS Merron","","","voucher"
"CU","CUMV-Fish","81274","1","2009-01-16TEastern Sta:ndard Time","Petrocephalus catostoma","Mormyridae","fluid","fluid","","-27","32","","","South Africa","Kwazulu Natal","","","","Usuthu R.","","1995","4","18","GS Merron","","","voucher"
"CU","CUMV-Fish","81275","1","2009-01-16TEastern Sta:ndard Time","Schilbe intermedius","Schilbeidae","fluid","fluid","","-27","32","","","South Africa","Kwazulu Natal","","","","Usuthu R.","","1993","12","0","GS Merron","","","voucher"
"CU","CUMV-Fish","81277","14","2009-01-16TEastern Sta:ndard Time","Oreochromis mossambicus","Cichlidae","fluid","fluid","","-26.9833","31.2833","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Ngodo Pan","","1995","2","17","GS Merron","","","voucher"
"CU","CUMV-Fish","81278","1","2009-01-16TEastern Sta:ndard Time","Petrocephalus catostoma","Mormyridae","fluid","fluid","","-26.8333","32.3","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Banzi Pan","","1993","12","0","GS Merron","","","voucher"
"CU","CUMV-Fish","81279","1","2009-01-16TEastern Sta:ndard Time","Micralestes acutidens","Alestidae","fluid","fluid","","-26.8333","32.3","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Banzi Pan","","1994","4","15","GS Merron","","","voucher"
"CU","CUMV-Fish","81280","10","2009-01-16TEastern Sta:ndard Time","Micralestes acutidens","Alestidae","fluid","fluid","","-27.0167","32.3","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Makanes New Bridge","","1993","12","0","M Coke","","","voucher"
"CU","CUMV-Fish","81281","44","2009-01-16TEastern Sta:ndard Time","Mesobola brevianalis","Cyprinidae","fluid","fluid","","-27.1333","32.1333","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Tete Pan","","1993","12","4","GS Merron","","","voucher"
"CU","CUMV-Fish","81282","22","2009-01-16TEastern Sta:ndard Time","Barbus paludinosus","Cyprinidae","fluid","fluid","","-26.9833","31.1167","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Namanini Pan","","1995","2","17","GS Merron","","","voucher"
"CU","CUMV-Fish","81283","10","2009-01-16TEastern Sta:ndard Time","Atherina breviceps","Atherinidae","fluid","fluid","","-33.6667","26.6833","","","South Africa","Eastern Cape","","","","Kareiga R.","","1990","12","4","A Whitfield","","","voucher"
"CU","CUMV-Fish","81284","4","2009-01-16TEastern Sta:ndard Time","Barbus afrohamiltoni","Cyprinidae","fluid","fluid","","-26.9833","32.1167","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Namamini Pan","","1994","4","13","GS Merron","","","voucher"
"CU","CUMV-Fish","81285","1","2009-01-16TEastern Sta:ndard Time","Clarias gariepinus","Clariidae","fluid","fluid","","-26.9833","32.2833","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Ngodo Pan","","1994","11","17","GS Merron","","","voucher"
"CU","CUMV-Fish","81289","7","2009-01-16TEastern Sta:ndard Time","Heteromycteris capensis","Soleidae","fluid","fluid","","-33.5167","27.1","","","South Africa","Eastern Cape","","","","Fish R.","","1990","6","14","","","","voucher"
"CU","CUMV-Fish","81290","3","2009-01-16TEastern Sta:ndard Time","Brycinus imberi","Alestidae","fluid","fluid","","-27.2","34.2","","","South Africa","Kwazulu Natal","","","","Mlambongwena R.","","1993","12","2","GS Merron","","","voucher"
"CU","CUMV-Fish","81292","15","2009-01-16TEastern Sta:ndard Time","Barbus toppini","Cyprinidae","fluid","fluid","","-27.1833","32.2","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Ntunte Pan","","1995","4","19","GS Merron","","","voucher"
"CU","CUMV-Fish","81293","15","2009-01-16TEastern Sta:ndard Time","Clarias gariepinus","Clariidae","cleared and stained, fluid","cleared and stained, fluid","","-27.1","32.25","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Khangazini Pan","","1993","12","9","GS Merron","","","voucher"
"CU","CUMV-Fish","81294","4","2009-01-16TEastern Sta:ndard Time","Clarias gariepinus","Clariidae","fluid","fluid","","-26.9833","32.1167","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Namanini Pan","","1994","11","7","GS Merron","","","voucher"
"CU","CUMV-Fish","81295","4","2009-01-16TEastern Sta:ndard Time","Clarias gariepinus","Clariidae","fluid","fluid","","-27.2167","32.2167","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Nsimbi Pan","","1994","11","3","GS Merron","","","voucher"
"CU","CUMV-Fish","81296","7","2009-01-16TEastern Sta:ndard Time","Micralestes acutidens","Alestidae","fluid","fluid","","-27.2","34.2","","","South Africa","Kwazulu Natal","","","","Mlambongwena R.","","1994","2","9","GS Merron","","","voucher"
"CU","CUMV-Fish","81297","6","2009-01-16TEastern Sta:ndard Time","Caranx sexfasciatus","Carangidae","fluid","fluid","","-27.5167","32.6833","","","South Africa","Kwazulu Natal","","","","Sodwana Estuary","","1974","1","20","MN Bruton","","","voucher"
"CU","CUMV-Fish","81298","1","2009-01-16TEastern Sta:ndard Time","Glossogobius giurus","Gobiidae","fluid","fluid","","-27.0167","32.3","","","South Africa","Kwazulu Natal","","","","Phongolo R. flood plain, Makanes New Bridge","","1994","4","11","GS Merron","","","voucher"
"CU","CUMV-Fish","81299","10","2009-01-16TEastern Sta:ndard Time","Glossogobius callidus","Gobiidae","fluid","fluid","","-26.9833","32.2833","","","South Africa","Kwazulu","","","","Phongolo R. flood plain, Ngodo Pan","","1995","4","17","GS Merron","","","voucher"
"CU","CUMV-Fish","90981","9","2009-01-16TEastern Sta:ndard Time","Austroglanis sclateri","Austroglanididae","tissue, tissue, fluid, tissue, dry skeleton, tissue, cleared and stained, tissue, tissue","tissue, tissue, fluid, tissue, dry skeleton, tissue, cleared and stained, tissue, tissue","tissue","-30.9580993652","27.4589004517","","","South Africa","Eastern Cape","","","","Kraai River at the Barkly East-Lady Grey road bridge (Lappa Munik Bridge)","","2005","10","19","Bills & Friel","","","voucher"
